Legacy class name	Default ns class name	New ns class name	Notes
Ac_Form_Control_Template_Placeholders	\Avancore\Form\Control\Template\Placeholders	\Avancore\Form\Template\PlaceholdersTemplate	
Ac_Form_Control_Template_Tabs	\Avancore\Form\Control\Template\Tabs	\Avancore\Form\Template\TabsTemplate	
Ac_Form_Control_Text	\Avancore\Form\Control\Text	\Avancore\Form\Control\TextControl	
Ac_Form_Control_Toggle	\Avancore\Form\Control\Toggle	\Avancore\Form\Control\ToggleControl	
Ac_Form_Control_Upload	\Avancore\Form\Control\Upload	\Avancore\Form\Control\UploadControl	
Ac_Form_Converter	\Avancore\Form\Converter	\Avancore\Form\FormConverter	
Ac_Form_RteAdapter	\Avancore\Form\RteAdapter	\Avancore\Form\RteAdapter\AbstractRteAdapter	
Ac_Form_RteAdapter_TinyMce	\Avancore\Form\RteAdapter\TinyMce	\Avancore\Form\RteAdapter\TinyMceRteAdapter	
Ac_I_Accessor	\Avancore\I\Accessor	\Avancore\Interface\AccessorInterface	rethink all interface names and locations
Ac_I_ApplicationComponent	\Avancore\I\ApplicationComponent	\Avancore\Interface\ApplicationComponentInterface	
Ac_I_ArraySerializable	\Avancore\I\ArraySerializable	\Avancore\Interface\ArraySerializableInterface	
Ac_I_ArraySerializable_Extended	\Avancore\I\ArraySerializable\Extended	\Avancore\Interface\ArraySerializableExtendedInterface	
Ac_I_BatchAwareMapper	\Avancore\I\BatchAwareMapper	\Avancore\Interface\BatchAwareMapperInterface	
Ac_I_CollectionAwareObject	\Avancore\I\CollectionAwareObject	\Avancore\Interface\CollectionAwareObjectInterface	
Ac_I_Compat	\Avancore\I\Compat	\Avancore\Interface\CompatInterface	
Ac_I_Controller	\Avancore\I\Controller	\Avancore\Interface\ControllerInterface	
Ac_I_Decorator	\Avancore\I\Decorator	\Avancore\Interface\DecoratorInterface	
Ac_I_Decorator_Model	\Avancore\I\Decorator\Model	\Avancore\Interface\DecoratorModelInterface	
Ac_I_EnumProvider	\Avancore\I\EnumProvider	\Avancore\Interface\EnumProviderInterface	
Ac_I_Getter	\Avancore\I\Getter	\Avancore\Interface\GetterInterface	
Ac_I_Jsable	\Avancore\I\Jsable	\Avancore\Interface\JsableInterface	
Ac_I_Lang_ResourceProvider	\Avancore\I\Lang\ResourceProvider	\Avancore\Interface\LangResourceProviderInterface	
Ac_I_LifecycleAwareCollection	\Avancore\I\LifecycleAwareCollection	\Avancore\Interface\LifecycleAwareCollectionInterface	
Ac_I_Mail_Address	\Avancore\I\Mail\Address	\Avancore\Interface\MailAddressInterface	
Ac_I_Mail_Attachment	\Avancore\I\Mail\Attachment	\Avancore\Interface\MailAttachmentInterface	
Ac_I_Mail_ExtendedMessage	\Avancore\I\Mail\ExtendedMessage	\Avancore\Interface\MailExtendedMessageInterface	
Ac_I_Mail_Message	\Avancore\I\Mail\Message	\Avancore\Interface\MailMessageInterface	
Ac_I_Mail_Sender	\Avancore\I\Mail\Sender	\Avancore\Interface\MailSenderInterface	
Ac_I_Mail_Sender_Smtp	\Avancore\I\Mail\Sender\Smtp	\Avancore\Interface\MailSmtpSenderInterface	
Ac_I_Mail_Sender_WithDump	\Avancore\I\Mail\Sender\WithDump	\Avancore\Interface\MailDumpingSenderInterface	
Ac_I_Mixable	\Avancore\I\Mixable	\Avancore\Interface\MixableInterface	
Ac_I_Mixable_Shared	\Avancore\I\Mixable\Shared	\Avancore\Interface\SharedMixableInterface	
Ac_I_Mixable_WithInit	\Avancore\I\Mixable\WithInit	\Avancore\Interface\MixableWithInitInterface	
Ac_I_Mixin	\Avancore\I\Mixin	\Avancore\Interface\MixinInterface	
